"id","name","domain","purpose","use_when","trigger_examples","mini_prompt"
"SKILL_009","Learn This Skill","Skills","Find suitable ways to acquire a skill.","When the user chooses a skill to develop.","how can I learn this; courses for Kubernetes; train my staff in this","Find learning options matched to required depth and context: course, unit, microcredential, certification, project, workplace learning or experience. Explain which option is fastest, deepest and most recognised."
"SKILL_010","Skill to Courses","Skills","Find courses that teach a specific skill at the needed depth.","When users start from a skill rather than a provider/course.","which courses teach this; best course for cloud security","Find courses with curriculum evidence for the skill. Rank by depth, whether core or elective, assessment/practice evidence, recognition and user constraints."
"SKILL_011","Skill to Jobs","Skills","Show where a skill creates employment options.","When users ask what jobs use a skill.","jobs using Python; careers for counselling skills","Return occupations/jobs where the skill is core, common or differentiating. Show required depth and companion skills so the user does not overestimate the value of one skill alone."
"SKILL_012","Skill to Companies","Skills","Find employers actively recruiting for a specific skill.","When users start from a skill and want to know which companies or employers are currently looking for people who have it.","which companies need this; employers hiring Kubernetes","Find companies with current or recent evidence of roles requiring the skill. Return matched roles, frequency/recency signal and evidence state. Do not call this a company-wide shortage without stronger evidence."
"IND_001","Industry Details","Industry","Open an industry and show its structure and workforce context.","When the user clicks an industry.","tell me about healthcare; open mining industry; industry details","Summarise the industry, official classification level where available, major sub-industries, workforce, occupations, companies, skill demand, technology change, shortages and outlook. Expose drill-down actions."
"IND_002","Industry Subfields","Industry","Move through official industry hierarchy or meaningful sub-sectors.","When the user wants more granular industry detail.","sub-industries; sectors inside healthcare; types of manufacturing","Return immediate official child categories where available and clearly separate any Yuzee-added market segments or niches. Explain the predominant activity of each child."
"IND_003","Industry Specialisations / Niches","Industry","Expose specialised market segments that matter to careers, skills and companies.","When official classification is too broad for user decisions.","AI industry niches; renewable energy specialisations; fintech segments","Identify meaningful specialisations/niches within the industry based on distinct work, technologies, customers or skill needs. Map each back to the official parent industry and show key roles and skills."
"IND_004","Industry Job Map","Industry","Show major, specialist, emerging and support occupations within an industry.","When users ask what jobs exist in an industry.","jobs in mining; careers in health; roles in AI industry","Return occupations grouped as core, specialist, enabling/support and emerging. Show employment/demand signal and the industry relationship for each."
"IND_005","Industry Company Map","Industry","Find relevant employers by industry, segment and location.","When users want to explore employers.","companies in cybersecurity; mining employers in WA","Return relevant companies grouped by role in the ecosystem or segment. Include location and current hiring signal where available, without implying completeness."
"IND_006","Industry Skill Map","Industry","Show capabilities that underpin an industry.","When users ask which skills matter in a sector.","skills needed in aged care; mining skills; fintech skills","Return foundational, technical/domain, professional and emerging skills. Show which occupations drive each skill and whether demand is broad or concentrated."
"IND_007","Industry Shortages","Industry","Identify specific occupations within an industry that have workforce shortages and explain the likely drivers.","When users ask which occupations or roles within an industry are hard to fill, in short supply, or experiencing a worker shortage.","shortages in construction; hard to fill roles; lack of candidates","Identify shortage occupations associated with the industry and classify likely shortage drivers where official evidence exists: long training gap, short training gap, suitability gap, retention gap or uncertain. Explain implications for employers and learners."
"IND_008","Industry Regional Demand","Industry","Compare industry activity and workforce demand by region.","When location matters to career or workforce planning.","where is healthcare growing; mining jobs by state","Compare employment, growth and vacancy/demand signals across regions. Highlight material concentration and uncertainty for smaller samples."
"IND_009","Industry Technology Change","Industry","Show technologies reshaping an industry and resulting skill changes.","When users ask what technology is changing a sector.","tech changing healthcare; automation in mining; digital trends","Identify technologies with observed or projected impact, affected business functions, tasks, occupations and skills. Separate adoption evidence from forecast impact."
"IND_010","Industry AI Impact","Industry","Explain how AI is changing work, skills, and roles across an entire industry or sector.","When users ask how AI is transforming a broad industry or sector â€” not the impact on a specific job or individual occupation.","AI in finance; what AI changes in education; which roles are affected","Map AI impact by business function and task: automated, augmented, transformed or newly created. Identify occupations and skills most affected and new capability needs. Keep uncertainty explicit."
"IND_011","Industry Education Supply","Industry","Show which courses and institutions feed talent into an industry.","When employers/institutions want to understand talent pipelines.","which courses supply this industry; training pipeline; graduate sources","Map key occupations/skills to relevant courses and institutions. Distinguish regulated qualification pipelines from optional upskilling routes and work-based learning."
"IND_012","Industry Talent Gap","Industry","Compare an industry's long-term workforce needs against current training and candidate supply.","For strategic workforce or education planning â€” when the question is whether training supply is keeping pace with an industry's long-term demand, not about shortages in a specific occupation.","talent gap; are enough candidates being trained; supply vs demand","Compare demand signals, shortage evidence, candidate/worker supply and education/training supply. Identify whether the likely constraint is training capacity, suitability, retention, geography or uncertain."
"COMP_001","Company Details","Companies","Open a company as a workforce and career object.","When a user clicks a company.","tell me about this company; careers at this employer; company profile","Summarise company activity, industry/segments, locations, workforce functions, relevant occupations, current hiring signals, skills/technologies observed and learning/talent connections. Expose deeper tools."
"COMP_002","Company Roles","Companies","Show occupations and jobs relevant to a company.","When users want careers inside a particular employer.","jobs at this company; what roles do they hire; career paths here","Return currently advertised roles plus recurring/recent role families where evidence exists. Group by function, specialisation and seniority. Keep historical and current roles separate."
"COMP_003","Company Skills","Companies","Show skills associated with a company's roles.","When users ask what capabilities a company values.","skills this company wants; what should I learn for them","Aggregate skills from relevant roles and first-party workforce evidence. Show frequency, recency, role concentration and whether the signal is broad or role-specific."
"COMP_004","Company Tech Stack Signals","Companies","Show technologies evidenced in a company's roles or public materials.","When users want to know tools/platforms used by an employer.","what tech stack do they use; tools at this company","Return technologies with evidence source, role context and recency. Classify each as confirmed first-party, observed in hiring, derived, or uncertain. Do not present job-ad mentions as a complete tech stack."
"COMP_005","Company Hiring Signals","Companies","Summarise current/recent recruitment activity.","When users ask whether a company is hiring or what it is expanding.","are they hiring; hiring trend; what teams are growing","Summarise vacancy volume/recency and role mix over the requested period. Identify increases/decreases only when comparable historical data exists. Return evidence coverage and uncertainty."
"COMP_006","Company Hard-to-Fill Roles","Companies","Identify roles that may be difficult for a company to fill.","When workforce shortage or recruitment difficulty is the question.","which roles are hard to fill; where are they struggling to recruit","Combine vacancy persistence, repeated hiring, occupation shortage status and role requirements to identify potentially hard-to-fill roles. Return as DERIVED unless company directly confirms difficulty."
"COMP_007","Company Skill Gaps / Needs","Companies","Identify skills a specific company appears to need more of, based on its hiring signals.","When an employer or advisor asks what skill gaps or needs a specific company has â€” not which companies need a given skill.","what skills are they missing; company skills need; what candidates should bring","Identify strongly evidenced skill needs from hiring and workforce signals. Separate current recruitment demand, inferred internal gap and emerging need. Explain which roles drive each signal and confidence."
"COMP_008","Candidate Fit to Company","Companies","Compare a candidate with employer-specific needs.","When a user wants to know how well they fit a company or role.","am I a fit; what am I missing for this company; candidate match","Compare demonstrated candidate capabilities with the selected role/company requirements. Show strong fit, partial fit, gaps and evidence gaps. Recommend the smallest high-impact improvements."
"COMP_009","Company Talent Supply","Companies","Estimate availability of qualified candidates for a specific company's roles by skill and location.","When a specific employer asks whether enough qualified candidates exist in the market to fill their particular roles â€” not a broad industry-level supply question.","are there enough candidates; talent availability; candidate pool","Estimate talent supply using available candidate, occupation, employment and education pipeline signals. Return ranges/relative indicators, data coverage and key constraints rather than false precision."
"COMP_010","Train vs Hire","Companies","Decide whether a workforce gap is better addressed through recruitment, upskilling, internal mobility or a mix.","When an employer has a defined future capability need.","should we hire or train; build vs buy talent; 30 roles in 2 years","Compare external hiring difficulty with internal skill adjacency, time-to-competence and training availability. Recommend hire, train, redeploy or mixed strategy by role/skill, with assumptions and risks."
"COMP_011","Company Upskill Plan","Companies","Build a targeted workforce learning plan.","When the employer chooses to develop internal capability.","train our staff; upskill plan; close team skills gap","Create a staged upskilling plan grouped by skill clusters and learner starting levels. Use the smallest suitable learning interventions and include workplace practice/evidence, not courses alone."
"COMP_012","Internal Mobility","Companies","Find workers or role families that can be reskilled into needed roles.","When an employer wants to redeploy existing staff.","who can move into this role; internal talent; redeploy staff","Rank internal candidates/role families by transferable skills and gap size. Show development needed and do not use sensitive personal attributes."
"COMP_013","Company Provider Match","Companies","Find institutions and learning providers that can address workforce requirements.","When an employer wants external training partners.","find providers; who can train this; university/RTO partner","Match workforce skill needs to providers and courses using curriculum evidence, depth, delivery, recognition and location. Show exact skill coverage and remaining gaps."
"COMP_014","Talent Pipeline Design","Companies","Design a multi-stage pipeline from training to experience to hiring.","When an employer has repeat or future talent demand.","build talent pipeline; partner with institutions; future workforce","Design a talent pipeline linking occupations, skill requirements, relevant courses/providers, internships/WIL/apprenticeships, candidate readiness checks and hiring milestones. State where supply evidence is weak."
"INST_001","Institution Details","Institutions","Open a provider as an education and industry-alignment object.","When a user clicks an institution.","tell me about this provider; university/RTO details","Summarise provider type, locations, study modes, fields/specialisations, qualification levels, relevant courses, industry links and outcomes where supported. Expose course and alignment tools."
"INST_002","Institution Courses","Institutions","Find courses and programs offered by a specific named institution or provider.","When the user has identified a specific institution and wants to browse or filter the courses that provider offers â€” not a general search for courses on a topic.","courses at this university; programs for cybersecurity here","Return relevant courses grouped by level/type and explain their different intended outcomes. Rank by user goal only when context is sufficient."
"INST_003","Institution Specialisations","Institutions","Show a provider's depth in a field beyond course titles.","When users want to know what an institution is strong/specialised in.","AI specialisations here; health disciplines; what areas do they teach","Map disciplines, course specialisations and relevant units/research or facilities where supported. Explain whether specialisation is curriculum depth, research strength or marketing positioning."
"INST_004","Curriculum Skill Map","Institutions","Map an institution's curriculum to concrete skills.","For curriculum analysis, course comparison and workforce alignment.","what skills does this program teach; curriculum skill map","Extract curriculum-supported skills and show unit evidence, depth, practice/assessment evidence and whether core or optional. Separate stated outcomes from derived skill mappings."
"INST_005","Curriculum Job Alignment","Institutions","Measure how well a specific program maps to the requirements of particular target occupations.","When evaluating how well a specific course or program prepares learners for particular job roles or occupations â€” not a broad industry relevance question.","does this course prepare for this job; job alignment","Compare curriculum skills, tools and experience with target-role requirements. Return strong, partial and missing coverage plus non-curriculum requirements such as licences or experience."
"INST_006","Curriculum Industry Alignment","Institutions","Assess whether a curriculum reflects the current and emerging skill needs of an entire industry.","When an institution wants to know if its curriculum tracks current and emerging industry skill needs across a sector â€” for program review or redesign, not for matching against specific job roles.","is our course aligned to industry; what are we missing","Compare course skills/tools with current and emerging industry needs. Separate durable foundations, current alignment, emerging gaps and low-value legacy content. Include evidence dates."
"INST_007","Curriculum Gap Recommendations","Institutions","Recommend curriculum additions or adjustments based on evidenced gaps.","After curriculum alignment analysis.","what should we add; update curriculum; missing modules","Prioritise curriculum changes by labour-market value, durability, feasibility and whether the gap belongs in formal curriculum, elective, microcredential, WIL or extracurricular support."
"INST_008","Employer Partner Match","Institutions","Find employers whose skill needs align with a provider's programs.","When institutions want industry partners.","companies we should partner with; employer match; industry partners","Match program skills and student level to employer role/skill needs. Show why each employer is relevant and whether the match is based on hiring demand, confirmed partnership opportunity or derived alignment."
"INST_009","Placement / WIL Partner Match","Institutions","Find employers suitable for internships, placements and WIL.","When experience is part of the program or job-readiness gap.","placement partners; internship companies; WIL opportunities","Match student skills and learning outcomes to employers/roles suitable for supervised practical experience. Flag prerequisite, safety/licensing and capacity constraints."
"INST_010","Program Demand","Institutions","Assess labour-market demand associated with a course/program.","For program planning or learner outcome context.","is there demand for this program; should we offer more places","Map the program to likely occupations, then summarise current demand, shortages and projections. Include education supply where available and state uncertainty. Do not equate occupation growth with guaranteed enrolment demand."
"CAND_001","Candidate Profile","Candidate","Create a structured current-state profile for matching and gap analysis.","When a user wants personalised career/education guidance.","assess me; my skills; profile for this career","Summarise demonstrated education, experience, skills, tools, credentials, constraints and goals. Separate explicit evidence from inferred or unknown information."
"CAND_002","Candidate Readiness","Candidate","Assess overall readiness for a specific next step â€” covering eligibility, skills, experience, credentials, and portfolio.","When a user wants a full readiness assessment for a specific target role, course, or company â€” covering experience, credentials, and application readiness, not just a skills comparison.","am I ready; job ready; chance of getting this role","Assess readiness across eligibility, skills, skill depth, experience, evidence/portfolio, licences/credentials and application readiness. Return readiness by dimension, not a false probability of success."
"CAND_003","Candidate Gap Plan","Candidate","Turn multiple readiness gaps into a staged personal action plan covering learning, experience, credentials, and applications.","After a readiness assessment, when a user needs a comprehensive staged plan to close multiple gaps â€” not just a ranked list of which skills to learn next.","how do I close the gaps; plan to become job ready","Prioritise gaps by blocking impact and create a staged plan using learning, evidence, experience, application and networking actions. Prefer the smallest intervention that credibly closes each gap."
"PROVE_001","Prove a Skill","Candidate","Show credible ways to demonstrate capability to employers or institutions.","When the skill may exist but evidence is weak.","how do I prove this; portfolio idea; demonstrate the skill","Suggest evidence appropriate to the skill and target: assessed project, work sample, portfolio, certification, licence, supervised experience, reference or RPL evidence. Explain what good evidence should demonstrate."
"RPL_001","RPL / Prior Learning Evidence","Candidate","Identify where existing work experience or prior study could be formally recognised, avoiding repetition of already-mastered learning.","When an experienced user asks whether their prior work experience or earlier study can be formally recognised for credit â€” not about finding alternative courses or learning routes.","can I get RPL; recognise my experience; do I need to study this again","Map existing evidence to published learning outcomes or competency requirements. Identify potentially recognisable areas, missing evidence and provider assessment steps. Never guarantee RPL before provider assessment."
"EXPERIENCE_001","Experience Match","Experience","Find practical experience that closes a specific readiness gap.","When knowledge alone is not enough.","I need experience; internship for this skill; project to become job ready","Identify experience types that would most improve readiness: internship, work placement, project, volunteer work, open-source, freelance, part-time role or simulated project. Match the tasks to the gap that must be demonstrated."
"APP_001","Apprenticeship / Traineeship Match","Experience","Find structured earn-and-learn pathways.","When the goal is suitable for an apprenticeship/traineeship route.","apprenticeship options; earn and learn; traineeship","Match the goal to relevant apprenticeship/traineeship occupations and qualifications, explain entry requirements, duration, work/study structure and current opportunities where available."
"TECH_001","Technology / Tool Details","Technology","Open a technology and connect it to tasks, skills, jobs and industries.","When a user clicks or asks about a tool.","what is Kubernetes; who uses Salesforce; tool details","Explain what the technology does, the tasks it supports, underlying skills, roles/industries using it, common alternatives and how deeply the user needs to know it for the stated target."
