id	mode	subject	needed_for_specific_answer	first_question	optional_details
IND_005	scoped	Industry and employer search scope	Industry and geography or explicit global scope	Which location should I use to find companies in this industry?	Company size, specialisation and hiring-only filter
IND_006	explain	Industry	Industry for typical skill families; region only for measured local demand	Which industry should I explain the skills for?	Occupation, specialisation and market
IND_007	scoped	Industry and region	Region and industry before asserting a shortage	Which region should I check for skill shortages?	Time period and occupations of interest
IND_008	scoped	Industry and regions to compare	Industry plus named comparison regions	Which regions would you like to compare?	Time period and occupation focus
IND_009	explain	Industry	Industry for conceptual technology change; timeframe for forecast claims	Which industry would you like to explore technology changes in?	Location, planning horizon and role
IND_010	explain	Industry	Industry for task-level examples; no individual profile needed	Which industry would you like to explore AI's impact on?	Time horizon and occupations of interest
IND_011	scoped	Industry and education market	Industry and geography; qualification scope only where supply measures differ	Which country or region's education supply should I examine?	Occupation, qualification level and period
IND_012	scoped	Industry, location and planning horizon	All three to compare compatible workforce supply and demand; missing datasets are not a user-profile gap	What location and planning period is this talent-gap question about?	Priority occupations and skills
COMP_001	scoped	Company	Disambiguate company by name/link/location only when needed	Which company would you like to understand?	Specific area of interest
COMP_002	scoped	Company	Company identity; distinguish typical functions from currently advertised vacancies	Which company would you like to explore roles at?	Function, location and seniority
COMP_003	scoped	Company	Company identity; role family only for a focused skills map	Which company should I look at the skill signals for?	Role, location and period
COMP_004	scoped	Company	Company identity; public stack evidence or supplied documentation	Which company's technology would you like to understand?	Role family and time period
COMP_005	scoped	Company and observation period	Company and period before claiming hiring movement; period may be offered as an explicit assumption	Which company would you like to check hiring signals for?	Location, function and role family
COMP_006	scoped	Company, role market and period	Company and market; repeated adverts alone cannot establish hard-to-fill roles	Which company's roles and location should I check?	Role family, period and available recruitment evidence
COMP_007	scoped	Company and skills question	Company and market for public signals; authorised internal evidence only for claims about actual workforce gaps	Are you exploring public hiring signals or your own team's skills?	Role family, period and anonymised capability information
COMP_008	personal	Candidate experience and target role at a company	A specific target role plus relevant candidate evidence before personal fit assessment	Which role at the company would you like to assess your fit for?	Redacted experience summary, location and preferences
COMP_009	scoped	Required role or skill and talent market	Role/skill and region before supply analysis; do not request candidate identities	What role or skill do you need to find people for?	Seniority, timeframe and employer context
COMP_010	personal	Workforce need and current capacity	Required outcome, deadline and current team's relevant capability before recommending train versus hire	What capability do you need, and by when?	Budget, delivery capacity and local hiring conditions
COMP_011	personal	Team starting point and target skills	Anonymised team capability, desired outcome and timeframe before an actionable upskilling plan	What should the team be able to do after the training?	Budget, delivery preferences and protected learning time
COMP_012	personal	Internal target roles and relevant workforce evidence	Target requirements and anonymised, role-relevant evidence; no employee ranking from demographics	Which internal role or opportunity are you planning for?	Employee interests, timeframe and location constraints
COMP_013	scoped	Training need, learner level and delivery scope	Required skills and learner level; location only for in-person/provider recognition constraints	What should the training help your team do?	Budget, timing, delivery and accreditation needs
COMP_014	personal	Target roles, hiring volume and deadline	Role/skills, numbers, location and timeframe for a sized pipeline; clarify one missing planning variable at a time	Which roles does the pipeline need to supply?	Partners, placement capacity and existing training resources
INST_001	scoped	Institution	Institution identity; campus only if the question depends on it	Which institution would you like to know about?	Location and area of interest
INST_002	scoped	Institution	Institution for its course list; preferences only to narrow or rank options	Which institution's courses would you like to explore?	Study area, qualification level and campus
INST_003	scoped	Institution and field	Both to identify actual specialisations	Which study area at the institution interests you?	Qualification level and campus
INST_004	scoped	Course/program curriculum	Named program and accessible syllabus, or supplied curriculum; missing public evidence should prompt lookup first	Which program should I map the skills for?	Target roles and industry
INST_005	scoped	Program and target occupation	Both comparison endpoints plus curriculum evidence	Which occupation should I compare this program with?	Seniority and jurisdiction
INST_006	scoped	Program, industry and market	Program and industry; location for local alignment claims	Which industry should this program prepare learners for?	Priority roles, market and planning horizon
INST_007	scoped	Existing curriculum gap assessment	Actual gap findings and curriculum; if absent, offer to audit before redesign	Do you have gap findings to work from, or should we first review the curriculum?	Accreditation rules, credit limits and delivery constraints
INST_008	scoped	Program or skills supplied and partner market	Program/skill supply and geography before employer matching	Where would you like to find employer partners?	Industry and partnership purpose
INST_009	scoped	Course, learner stage and placement area	Program, stage and user-chosen location for matching; provider rules and host openings need evidence	Where are placements needed for these learners?	Timing, duration, supervision and capacity
INST_010	scoped	Program and market	Program and location for demand assessment; separate employer demand from learner enrolment demand	Which region should I assess demand for this program in?	Time horizon and target occupations
CAND_001	personal	User-provided background	Voluntary relevant experience and intended purpose to draft a profile; no name, date of birth or full CV required	What would you like this profile to help you apply for or explore?	Redacted experience, education, strengths and preferences
CAND_002	personal	Candidate evidence and target	Target requirements plus relevant experience before a readiness conclusion	What role, course or opportunity are you checking readiness for?	Timeframe and location if requirements depend on it
CAND_003	personal	Target and established gaps	Target and evidence-based gap findings; if absent first establish what is known	Which goal would you like a gap-closing plan for?	Available time, budget and constraints
PROVE_001	explain	Skill and intended use	Skill for practice examples; assessor/credential rules only for formal proof or recognition	Which skill would you like to demonstrate?	Target role, current level and available practice time
RPL_001	personal	Target credential/provider and prior learning	Exact credential and relevant learning/work examples before assessing possible RPL evidence; final credit is provider's decision	Which qualification would you like your experience recognised towards?	Jurisdiction and redacted evidence descriptions
EXPERIENCE_001	personal	Target role/skill and experience opportunity scope	Goal, starting level and location or remote preference for suitable opportunity matching	What skill or role would you like to gain experience in?	Availability, paid/unpaid preference and duration
APP_001	personal	Apprenticeship goal and jurisdiction	Goal and location; ask only eligibility facts required by current rules for that pathway	Where would you like to do an apprenticeship or traineeship?	Industry, availability and existing qualifications
TECH_001	explain	Technology or tool	Only tool name for an explanation; current pricing/features require sources, not a personal questionnaire	Which tool would you like explained?	Task, industry and familiarity
TECH_002	scoped	Technology and market	Technology and market scope; period for a measured adoption trend	Which technology and market would you like to examine?	Industry, role and comparison period
TREND_001	scoped	Market topic, location and period	Resolve scope, location and time window before measured trend claims	Which market or topic would you like to explore?	Industry, role, skill or technology focus
TREND_002	scoped	Industry/skill scope and location	Topic and market; timeframe before describing measured emergence	Which field and location would you like to look at emerging roles in?	Period and change driver
TREND_003	scoped	Occupation/scope and location	Scope and market; distinguish task change from disappearance	Which role or field are you concerned about changing?	Time horizon and change driver
TREND_004	scoped	Occupation/industry, location and period	Comparison scope and consistent period before claiming qualification demand changed	Which role or industry should I check qualification trends for?	Qualification type and country
TREND_005	scoped	Industry/role, market and period	Scope, geographic market and time window for a measured skill trend set	Which role or industry would you like skill trends for?	Specialisation and comparison period
TREND_006	scoped	Hiring scope, market and period	Company/role/industry plus market and period before trend claims	Whose hiring would you like to examine: a role, industry or company?	Role family and comparison window
TREND_007	scoped	Role/scope, location and period	Role/level, market and comparable pay basis; never ask personal income for market analysis	Which role and location should I check pay and conditions for?	Seniority, industry, hours basis and comparison period
TREND_008	scoped	Topic, regions and period	Topic plus named regions and comparable period	Which regions would you like to compare?	Industry, occupation or skill focus
